location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
225801,"Westminster - Elizabeth Bridge","no2",30.9,"µg/m³","2024-11-09T01:00:00Z","2024-11-09T01:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",21.5,"µg/m³","2024-11-09T02:00:00Z","2024-11-09T02:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",20,"µg/m³","2024-11-09T03:00:00Z","2024-11-09T03:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",17.1,"µg/m³","2024-11-09T04:00:00Z","2024-11-09T04:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",24.4,"µg/m³","2024-11-09T05:00:00Z","2024-11-09T05:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",37.8,"µg/m³","2024-11-09T06:00:00Z","2024-11-09T06:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",35.9,"µg/m³","2024-11-09T07:00:00Z","2024-11-09T07:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",37.8,"µg/m³","2024-11-09T08:00:00Z","2024-11-09T08:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",42.5,"µg/m³","2024-11-09T09:00:00Z","2024-11-09T09:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",36.8,"µg/m³","2024-11-09T10:00:00Z","2024-11-09T10:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",41.7,"µg/m³","2024-11-09T11:00:00Z","2024-11-09T11:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",67.5,"µg/m³","2024-11-09T12:00:00Z","2024-11-09T12:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",47.8,"µg/m³","2024-11-09T13:00:00Z","2024-11-09T13:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",55.1,"µg/m³","2024-11-09T14:00:00Z","2024-11-09T14:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",52.7,"µg/m³","2024-11-09T15:00:00Z","2024-11-09T15:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",47.1,"µg/m³","2024-11-09T16:00:00Z","2024-11-09T16:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",62.2,"µg/m³","2024-11-09T17:00:00Z","2024-11-09T17:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",58.6,"µg/m³","2024-11-09T18:00:00Z","2024-11-09T18:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",41.8,"µg/m³","2024-11-09T19:00:00Z","2024-11-09T19:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",29.5,"µg/m³","2024-11-09T20:00:00Z","2024-11-09T20:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",26.8,"µg/m³","2024-11-09T21:00:00Z","2024-11-09T21:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",29.9,"µg/m³","2024-11-09T22:00:00Z","2024-11-09T22:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",18,"µg/m³","2024-11-09T01:00:00Z","2024-11-09T01:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",17,"µg/m³","2024-11-09T02:00:00Z","2024-11-09T02:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",18,"µg/m³","2024-11-09T03:00:00Z","2024-11-09T03:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",17,"µg/m³","2024-11-09T04:00:00Z","2024-11-09T04:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",15,"µg/m³","2024-11-09T05:00:00Z","2024-11-09T05:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",16,"µg/m³","2024-11-09T06:00:00Z","2024-11-09T06:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",19,"µg/m³","2024-11-09T07:00:00Z","2024-11-09T07:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",19,"µg/m³","2024-11-09T08:00:00Z","2024-11-09T08:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",16,"µg/m³","2024-11-09T09:00:00Z","2024-11-09T09:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",15,"µg/m³","2024-11-09T10:00:00Z","2024-11-09T10:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",19,"µg/m³","2024-11-09T11:00:00Z","2024-11-09T11:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",18,"µg/m³","2024-11-09T12:00:00Z","2024-11-09T12:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",20,"µg/m³","2024-11-09T13:00:00Z","2024-11-09T13:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",19,"µg/m³","2024-11-09T14:00:00Z","2024-11-09T14:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",17,"µg/m³","2024-11-09T15:00:00Z","2024-11-09T15:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",17,"µg/m³","2024-11-09T16:00:00Z","2024-11-09T16:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",19,"µg/m³","2024-11-09T17:00:00Z","2024-11-09T17:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",18,"µg/m³","2024-11-09T18:00:00Z","2024-11-09T18:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",23,"µg/m³","2024-11-09T19:00:00Z","2024-11-09T19:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",20,"µg/m³","2024-11-09T20:00:00Z","2024-11-09T20:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",20,"µg/m³","2024-11-09T21:00:00Z","2024-11-09T21:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","pm25",18,"µg/m³","2024-11-09T22:00:00Z","2024-11-09T22:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"